"name","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","rating","Nationality"
"100% Bran",246.917935060583,14.1095962891762,3.52739907229404,458.561879398226,35.2739907229404,17.6369953614702,21.1643944337643,987.671740242332,88.1849768073511,68.402973,"US"
"100% Natural Bran",423.287888675285,10.5821972168821,17.6369953614702,52.9109860844107,7.05479814458809,28.2191925783524,28.2191925783524,476.198874759696,0,33.983679,"US"
"All-Bran",246.917935060583,14.1095962891762,3.52739907229404,917.123758796451,31.7465916506464,24.6917935060583,17.6369953614702,1128.76770313409,88.1849768073511,59.425505,"US"
"All-Bran with Extra Fiber",176.369953614702,14.1095962891762,0,493.835870121166,49.3835870121166,28.2191925783524,0,1164.04169385703,88.1849768073511,93.704912,"US"
"Almond Delight",388.013897952345,7.05479814458809,7.05479814458809,705.479814458809,3.52739907229404,49.3835870121166,28.2191925783524,-3.52739907229404,88.1849768073511,34.384843,"US"
"Apple Cinnamon Cheerios",388.013897952345,7.05479814458809,7.05479814458809,634.931833012928,5.29109860844107,37.0376902590875,35.2739907229404,246.917935060583,88.1849768073511,29.509541,"US"
"Apple Jacks",388.013897952345,7.05479814458809,0,440.924884036755,3.52739907229404,38.8013897952345,49.3835870121166,105.821972168821,88.1849768073511,33.174094,"US"
"Basic 4",344.783367968591,7.95653926081363,5.30435950720909,556.957748256954,5.30435950720909,47.7392355648818,21.2174380288364,265.217975360454,66.3044938401136,37.038562,"US"
"Bran Chex",317.465916506464,7.05479814458809,3.52739907229404,705.479814458809,14.1095962891762,52.9109860844107,21.1643944337643,440.924884036755,88.1849768073511,49.120253,"US"
"Bran Flakes",317.465916506464,10.5821972168821,0,740.753805181749,17.6369953614702,45.8561879398226,17.6369953614702,670.205823735868,88.1849768073511,53.313813,"US"
"Cap'n'Crunch",423.287888675285,3.52739907229404,7.05479814458809,776.02779590469,0,42.3287888675285,42.3287888675285,123.458967530292,88.1849768073511,18.042851,"US"
"Cheerios",388.013897952345,21.1643944337643,7.05479814458809,1022.94573096527,7.05479814458809,59.9657842289987,3.52739907229404,370.376902590875,88.1849768073511,50.764999,"US"
"Cinnamon Toast Crunch",423.287888675285,3.52739907229404,10.5821972168821,740.753805181749,0,45.8561879398226,31.7465916506464,158.732958253232,88.1849768073511,19.823573,"US"
"Clusters",388.013897952345,10.5821972168821,7.05479814458809,493.835870121166,7.05479814458809,45.8561879398226,24.6917935060583,370.376902590875,88.1849768073511,40.400208,"US"
"Cocoa Puffs",388.013897952345,3.52739907229404,3.52739907229404,634.931833012928,0,42.3287888675285,45.8561879398226,194.006948976172,88.1849768073511,22.736446,"US"
"Corn Chex",388.013897952345,7.05479814458809,0,987.671740242332,0,77.602779590469,10.5821972168821,88.1849768073511,88.1849768073511,41.445019,"US"
"Corn Flakes",352.739907229404,7.05479814458809,0,1022.94573096527,3.52739907229404,74.0753805181749,7.05479814458809,123.458967530292,88.1849768073511,45.863324,"US"
"Corn Pops",388.013897952345,3.52739907229404,0,317.465916506464,3.52739907229404,45.8561879398226,42.3287888675285,70.5479814458809,88.1849768073511,35.782791,"US"
"Count Chocula",388.013897952345,3.52739907229404,3.52739907229404,634.931833012928,0,42.3287888675285,45.8561879398226,229.280939699113,88.1849768073511,22.396513,"US"
"Cracklin' Oat Bran",388.013897952345,10.5821972168821,10.5821972168821,493.835870121166,14.1095962891762,35.2739907229404,24.6917935060583,564.383851567047,88.1849768073511,40.448772,"US"
"Cream of Wheat (Quick)",352.739907229404,10.5821972168821,0,282.191925783524,3.52739907229404,74.0753805181749,0,-3.52739907229404,0,64.533816,"US"
"Crispix",388.013897952345,7.05479814458809,0,776.02779590469,3.52739907229404,74.0753805181749,10.5821972168821,105.821972168821,88.1849768073511,46.895644,"US"
"Crispy Wheat & Raisins",352.739907229404,7.05479814458809,3.52739907229404,493.835870121166,7.05479814458809,38.8013897952345,35.2739907229404,423.287888675285,88.1849768073511,36.176196,"US"
"Double Chex",352.739907229404,7.05479814458809,0,670.205823735868,3.52739907229404,63.4931833012928,17.6369953614702,282.191925783524,88.1849768073511,44.330856,"US"
"Froot Loops",388.013897952345,7.05479814458809,3.52739907229404,440.924884036755,3.52739907229404,38.8013897952345,45.8561879398226,105.821972168821,88.1849768073511,32.207582,"US"
"Frosted Flakes",388.013897952345,3.52739907229404,0,705.479814458809,3.52739907229404,49.3835870121166,38.8013897952345,88.1849768073511,88.1849768073511,31.435973,"US"
